User,creationDate,listingId,strategy,借款用途,借款金额,其他事项,协议利率,单笔最高借款金额,历史最高负债,历史记录,学习形式,工作信息,年龄,征信记录,待还金额,性别,成功借款次数,成功还款次数,收入情况,文化程度,期限,正常还清次数,毕业院校,注册时间,第一次成功借款时间,累计借款金额,级别,网络借贷平台借款余额,资金运用情况,还款来源,逾期类型,逾期（0-15天）还清次数,逾期（15天以上）还清次数,本次借款后负债,title,投标人数,进度
,,124920029,,日常消费,"8,647",暂无,20%,"10,500.00","11,899.02",0次流标， 0次撤标， 0次失败,无,私营业主,37,暂未提供,"1,895.67",女,2次,11次,暂未提供,无,6个月,11次,无,2017/02/07,2017/02/14,"16,000.00",B,暂未提供,日常消费,个人存款,,0次,0次,,,,
,,124920027,,日常消费,818,暂无,20%,"2,215.00","5,905.69",0次流标， 0次撤标， 0次失败,无,暂未提供,20,暂未提供,"4,870.27",女,11次,51次,暂未提供,无,3个月,48次,无,2017/04/23,2017/04/23,"14,271.00",B,暂未提供,日常消费,薪资收入,,2次,0次,,,,
,,124920281,,医疗,"9,000",暂无,20%,"6,000.00","8,158.20",0次流标， 0次撤标， 0次失败,无,私营业主,42,暂未提供,0.00,男,1次,3次,暂未提供,无,3个月,3次,无,2017/12/08,2017/12/08,"6,000.00",B,暂未提供,医疗,经营收入,,0次,0次,,,,
,,124920456,,医疗,"1,000",暂无,20%,"3,000.00","4,915.76",0次流标， 0次撤标， 0次失败,无,暂未提供,31,暂未提供,"4,594.96",女,4次,8次,暂未提供,无,6个月,8次,无,2018/02/10,2018/02/10,"5,500.00",B,暂未提供,医疗,薪资收入,,0次,0次,,,,
,,124920602,,旅游,"3,000",暂无,20%,"5,000.00","18,585.35",1次流标， 1次撤标， 0次失败,无,暂未提供,24,暂未提供,"6,505.62",男,13次,102次,暂未提供,无,6个月,95次,无,2016/07/02,2016/08/31,"34,800.00",B,暂未提供,旅游,薪资收入,,7次,0次,,,,
,,124920804,,兼职创业,"1,700",暂无,20%,"4,000.00","6,133.43",0次流标， 0次撤标， 0次失败,无,暂未提供,20,暂未提供,"3,754.84",女,3次,16次,暂未提供,无,3个月,16次,无,2018/01/04,2018/01/04,"6,000.00",B,暂未提供,兼职创业,个人存款,,0次,0次,,,,
,,124920774,,日常消费,900,暂无,20%,"1,500.00","9,856.69",0次流标， 0次撤标， 0次失败,无,暂未提供,21,暂未提供,"8,948.92",女,21次,78次,暂未提供,无,6个月,78次,无,2016/05/03,2017/10/30,"21,100.00",B,"7,666.00",日常消费,个人存款,,0次,0次,,,,
,,124921701,,日常消费,760,暂无,20%,"3,000.00","5,740.29",0次流标， 0次撤标， 0次失败,普通,私营业主,21,暂未提供,"5,160.73",女,4次,14次,暂未提供,专科,6个月,13次,江西建设职业技术学院,2017/07/07,2017/07/07,"8,185.00",B,暂未提供,日常消费,薪资收入,,1次,0次,,,,
,,124921972,,日常消费,"1,000",暂无,20%,"2,500.00","10,298.58",0次流标， 0次撤标， 0次失败,普通,暂未提供,24,暂未提供,"8,933.34",女,12次,21次,暂未提供,本科,6个月,14次,黄冈师范学院,2017/11/04,2017/11/06,"13,500.00",B,暂未提供,日常消费,个人存款,,7次,0次,,,,
,,124922126,,日常消费,"1,000",暂无,20%,"9,000.00","16,904.46",0次流标， 0次撤标， 0次失败,无,私营业主,24,暂未提供,"14,194.30",女,13次,35次,暂未提供,无,6个月,35次,无,2017/10/26,2017/10/26,"32,654.00",B,"1,063.00",日常消费,薪资收入,,0次,0次,,,,
,,124948173,,装修,"11,782",暂无,20%,"15,000.00","17,089.81",3次流标， 0次撤标， 0次失败,无,私营业主,29,暂未提供,"3,912.48",女,8次,56次,暂未提供,无,6个月,40次,无,2017/06/10,2017/06/10,"34,255.00",B,暂未提供,装修,经营收入,,16次,0次,,,,
,,124951009,,日常消费,"1,000",暂无,20%,"12,000.00","14,406.96",0次流标， 0次撤标， 0次失败,无,暂未提供,19,暂未提供,"11,994.30",女,4次,7次,暂未提供,无,6个月,7次,无,2018/05/05,2018/05/05,"14,000.00",B,暂未提供,日常消费,薪资收入,,0次,0次,,,,
,,124951070,,日常消费,"2,000",暂无,20%,"6,000.00","9,024.14",1次流标， 1次撤标， 0次失败,成人,暂未提供,23,暂未提供,"6,184.96",女,5次,18次,暂未提供,专科,6个月,15次,首都联合职工大学,2017/08/22,2017/09/18,"13,500.00",B,暂未提供,日常消费,个人存款,,3次,0次,,,,
,,124951072,,装修,500,暂无,20%,"6,919.00","13,760.27",0次流标， 0次撤标， 0次失败,无,暂未提供,24,暂未提供,"12,058.18",女,14次,71次,暂未提供,无,6个月,68次,无,2017/04/23,2017/04/26,"32,570.00",B,暂未提供,装修,薪资收入,,1次,0次,,,,
,,124951272,,日常消费,"2,000",暂无,20%,"13,000.00","15,054.84",0次流标， 2次撤标， 0次失败,无,暂未提供,25,暂未提供,"2,510.20",男,8次,39次,暂未提供,无,6个月,39次,无,2017/03/11,2017/07/18,"33,500.00",B,暂未提供,日常消费,薪资收入,,0次,0次,,,,
,,124951368,,日常消费,"1,423",暂无,20%,"5,500.00","11,218.12",1次流标， 0次撤标， 0次失败,普通,暂未提供,22,暂未提供,"9,393.08",女,6次,27次,暂未提供,专科,6个月,27次,黑龙江生态工程职业学院,2017/08/24,2017/09/03,"21,534.00",B,暂未提供,日常消费,薪资收入,,0次,0次,,,,
