creationDate,overDueDays,User,listingId,借款用途,借款金额,其他事项,协议利率,单笔最高借款金额,历史最高负债,历史记录,学习形式,工作信息,年龄,征信记录,待还金额,性别,成功借款次数,成功还款次数,收入情况,文化程度,期限,正常还清次数,毕业院校,注册时间,第一次成功借款时间,累计借款金额,级别,网络借贷平台借款余额,资金运用情况,还款来源,逾期（0-15天）还清次数,逾期（15天以上）还清次数,待收金额,逾期(0-15天)还清次数,逾期(15天以上)还清次数,逾期类型
2018-08-27T16:58:58,89,,86828140,,"10,400",暂无,18%,"10,400.00","13,717.65",,自考,暂未提供,24,暂未提供,"13,717.65",男,9次,43 次,5000-8000（含5000）,本科,9 个月,43 次,沈阳工业大学,2016/8/29,2016/8/29,"22,767.00",,暂未提供,,薪资收入,,,0.00,0 次,0 次,
2018-08-27T16:59:00,89,,86828140,,"10,400",暂无,18%,"10,400.00","13,717.65",,自考,暂未提供,24,暂未提供,"13,717.65",男,9次,43 次,5000-8000（含5000）,本科,9 个月,43 次,沈阳工业大学,2016/8/29,2016/8/29,"22,767.00",,暂未提供,,薪资收入,,,0.00,0 次,0 次,
2018-08-27T16:59:02,89,,110277373,装修,"4,798",暂无,22%,"13,000.00","14,826.84",,无,暂未提供,27,暂未提供,"14,323.57",女,2次,6 次,暂未提供,无,6 个月,6 次,无,2017/10/29,2017/10/30,"17,798.00",,暂未提供,装修,薪资收入,,,0.00,0 次,0 次,
2018-08-27T16:59:04,88,,62106579,,"20,000",暂无,18%,"20,000.00","32,375.28",,自学考试,暂未提供,30,暂未提供,"26,015.30",女,9次,34 次,2000-5000（含2000）,本科,12 个月,33 次,西安交通大学,2016/9/5,2016/9/5,"72,290.00",,暂未提供,,薪资收入,,,0.00,1 次,0 次,
2018-08-27T16:59:06,88,,80942991,,"6,584",暂无,18%,"8,000.00","21,804.98",,成人,工薪族,34,暂未提供,"14,410.78",女,13次,102 次,暂未提供,专科,9 个月,93 次,湖北商业高等专科学校,2016/12/15,2016/12/15,"52,791.00",,暂未提供,,薪资收入,,,0.00,1 次,7 次,
2018-08-27T16:59:08,87,,105634236,日常消费,"1,300",暂无,22%,"4,000.00","8,510.99",,成人,暂未提供,19,暂未提供,"8,510.99",男,13次,50 次,5000-8000（含5000）,专科,6 个月,49 次,成都广播电视大学,2016/10/16,2017/9/6,"17,560.00",,暂未提供,日常消费,薪资收入,,,0.00,1 次,0 次,
2018-08-27T16:59:10,87,,62249296,,"5,836",暂无,18%,"9,550.00","14,464.86",,无,暂未提供,25,暂未提供,"5,325.13",男,9次,69 次,暂未提供,无,12 个月,59 次,无,2017/3/29,2017/3/29,"32,742.00",,暂未提供,,,,,0.00,6 次,4 次,
2018-08-27T16:59:13,87,,81018894,,"5,000",暂无,18%,"5,000.00","7,965.99",,普通,暂未提供,27,有逾期,"3,542.09",男,5次,22 次,暂未提供,专科,9 个月,19 次,郑州电子信息职业技术学院,2017/7/5,2017/7/6,"15,370.00",,暂未提供,,薪资收入,,,0.00,2 次,1 次,信用卡
2018-08-27T16:59:20,87,,81011622,,"12,000",暂无,18%,"12,000.00","13,201.92",,普通,工薪族,32,暂未提供,"11,871.53",男,3次,10 次,暂未提供,专科,12 个月,9 次,丽水学院,2017/11/1,2017/11/1,"17,307.00",,暂未提供,,薪资收入,,,0.00,1 次,0 次,
2018-08-27T16:59:22,87,,81093910,,"2,500",暂无,18%,"3,195.00","13,884.54",,普通,暂未提供,23,暂未提供,"13,884.54",女,19次,124 次,暂未提供,专科,9 个月,124 次,兰州职业技术学院,2016/8/9,2016/8/9,"29,585.00",,暂未提供,,个人存款,,,0.00,0 次,0 次,
2018-08-27T16:59:24,87,,80880611,,"4,430",暂无,18%,"4,430.00","19,712.30",,无,私营业主,34,暂未提供,"5,682.15",男,20次,218 次,5000-8000（含5000）,无,9 个月,207 次,无,2015/9/7,2016/1/17,"37,130.00",,暂未提供,,薪资收入,,,0.00,11 次,0 次,
2018-08-27T16:59:26,86,,105753415,,"3,000",暂无,22%,"7,608.00","18,309.01",,无,工薪族,31,暂未提供,"16,234.24",女,15次,74 次,暂未提供,无,6 个月,65 次,无,2016/8/22,2016/8/22,"37,799.00",,暂未提供,,薪资收入,,,0.00,7 次,1 次,
2018-08-27T16:59:29,86,,75208531,,"20,000",暂无,18%,"20,000.00","42,420.63",,无,暂未提供,30,暂未提供,"11,082.03",女,8次,58 次,暂未提供,无,12 个月,55 次,无,2015/8/28,2016/6/29,"55,497.00",,8434.00,,经营收入,,,0.00,3 次,0 次,
2018-08-27T16:59:31,86,,75208531,,"20,000",暂无,18%,"20,000.00","42,420.63",,无,暂未提供,30,暂未提供,"11,082.03",女,8次,58 次,暂未提供,无,12 个月,55 次,无,2015/8/28,2016/6/29,"55,497.00",,8434.00,,经营收入,,,0.00,3 次,0 次,
2018-08-27T16:59:33,86,,105785519,日常消费,"5,179",暂无,22%,"8,125.00","14,237.98",,无,暂未提供,47,暂未提供,"6,757.74",男,20次,90 次,8000-15000（含8000）,无,6 个月,89 次,无,2016/10/16,2016/10/17,"46,156.00",,暂未提供,日常消费,薪资收入,,,0.00,1 次,0 次,
2018-08-27T16:59:35,86,,75240186,,"13,500",暂无,18%,"13,500.00","17,390.68",,普通,私营业主,27,暂未提供,"17,390.68",男,2次,7 次,暂未提供,专科,12 个月,3 次,三峡电力职业学院,2017/10/2,2017/10/2,"21,080.00",,暂未提供,,经营收入,,,0.00,4 次,0 次,
2018-08-27T16:59:37,86,,62639628,,"8,873",暂无,18%,"8,873.00","18,296.98",,网络教育,私营业主,45,暂未提供,"3,315.62",男,4次,36 次,暂未提供,本科,12 个月,21 次,哈尔滨工业大学,2016/11/21,2016/11/21,"28,908.00",,暂未提供,,经营收入,,,0.00,10 次,2 次,
