amount,avatarUrl,bidAmountAverage,bidDurationAverage,feeRate,funding,introduction_x,isOpen,nickName,overdueRate30,overdueRate30AverageStr,overdueRate60,overdueRate60AverageStr,overdueRate90,overdueRate90AverageStr,plannerName,rate,runDays,strategyId,strategyTitle,strategyType,Unnamed: 0,Unnamed: 0.1,introduction_y,popularity,sumBidAmount,sumSelfBidAmount,userId,yieldRate,sumBidAmountDetail,registerDate
200,https://jc01.info.user.ppdai.com/72d4933d300a4c90b4c58f2f6b1e3170.jpg,9420633.2,12,0.0,81,12月长赔标,0,化学键,0,--,0,--,0,--,,0.1053,16,4842,瞎投赔标,0,195,195,一身诗意千寻瀑,70,1476305.0,480.0,56220633,14.21,2225586,2017-06-25
200,https://jc01.info.user.ppdai.com/8899a28cd1a04f63aee0cb1fb920a71d.png,23804967.8333,8,0.0,78,一年内赔标,0,一起成长,0,--,0,--,0,--,,0.105,37,4324,一年内赔标,0,66,66,2015年投资拍拍贷至今，追求稳定基础上的较高收益，期间不离不弃，和拍拍贷一起成长，作风稳健。投资净收益逾80万以上，累计投标金额超过1400万元。,713,11630492.0,471158.0,7945416,17.740000000000006,14295807,2015-08-14
200,https://jc01.info.user.ppdai.com/3ae9c773ebfe4d1ca0692116167c3815.jpg,31981827.0,7,0.0,70,利率10.5起投，借款金额小于1万元，期限不限,0,光明使者,0,--,0,--,0,--,,0.1036,24,4829,小额陪标,0,158,158,本人2013年开始投资P2P，2015年正式投资拍拍贷，长期潜心研究借款人各项指标对逾期率的影响，积累了丰富的投资经验。,149,3674953.0,347740.0,15637936,14.99,11044062,2015-11-09
200,https://jc01.info.user.ppdai.com/5f825251dc35470182f0c8ca2f58d82c.PNG,4844062.4333,6,0.0,70,精选六月期限赔标,0,西虹剑客,0,--,0,--,0,--,,0.1029,5,5696,西虹6月赔,0,178,178,长期投资拍拍贷，擅长历史数据回测，期望我的策略能给你带来好收益。,91,965825.0,10507.0,48924899,20.12,3123640,2017-04-06
200,https://jc01.info.user.ppdai.com/c95dc71eed624a81824290ca2238b3a2.jpg,32561684.4667,7,0.0,58,6月以上陪标,0,银河飞沙,0,--,0,--,0,--,,0.1035,2,5780,银河赔标,0,186,186,以过往投资数据记录为依据，沉稳追求可持续收益,78,1283536.0,194577.0,59242701,15.15,4517475,2017-07-26
200,https://jc01.info.user.ppdai.com/f94db2b9db604e3c8cceb615c198b9fa.jpg,31981827.0,7,0.0,57,容易投,0,春华秋实,0,--,0,--,0,--,,0.1036,5,5712,春华秋实赔标,0,166,166,自认识了p2p以后，现在投资只有p2p和定投。,125,1633847.0,209736.0,30992228,14.44,4891626,2016-08-23
200,https://jc01.info.user.ppdai.com/55e7672a7c8147618d5fe6fb4a29b75c.jpg,24100664.3,8,0.0,54,尽量选择高收益的AA赔标，同时从时间跨度上做一些控制。,0,南有乔木,0,--,0,--,0,--,,0.1051,40,4159,他山之石,0,28,28,10年网贷经验，在PPD总投资达500万以上，散标累计千万以上。利用多维度筛选借款人，形成自定义策略，在茫茫标的“大海”中选择最优质标的， 具有丰富的独到的经验。备注：策略动态及邀请码请参见“策略师说”。,1240,16978650.0,454222.0,34018475,15.5,4935039,2016-10-05
200,https://jc01.info.user.ppdai.com/19aa7395d8f245838cf39de2406f9087.jpg,10839661.0667,7,0.0,52,借款期限1-12个月，仅出借给年轻人。赔标不怕年轻人逾期，喜欢年轻人提前还款,0,圆满收益,0,--,0,--,0,--,,0.1036,40,4141,小年轻还的快,0,161,161,在拍拍贷投资近两年，通过借鉴老司机的选标经验、进行大量的数据分析和投标实践，不断完善投标策略，获得非常满意的年化收益率。,139,2900805.0,17576.0,45511401,16.78,18863456,2017-02-28
200,https://jc01.info.user.ppdai.com/9ed49528261e4a0097a41efe15b574bf.jpg,1071658.0,6,0.0,52,多次借款的AA标，小额多次借款,0,sk632,0,--,0,--,0,--,,0.1032,34,4023,陪标挖掘,0,25,25,"2013年来拍拍贷投资,持续复投,累计年化收益率16%,实现资产4年翻番.投资经验丰富,和大家分享.",1285,20525123.0,47920.0,959136,14.84,10629205,2013-01-02
200,https://jc01.info.user.ppdai.com/f2066e576941496caa1cdfd204aeac2b.jpg,12652615.3,6,0.0,47,"3-6月 AA标, 短期高息快回款，定活两便 好开心！",0,财富这边独好,0,--,0,--,0,--,,0.1031,29,4583,高息快转天天赚,0,118,118,"本人从事经贸工作,喜爱钻研投资理财,15年4月始投互金,15年10月始投拍拍贷,17年11月底玩自定义。不断改进策略，效果显著。至今家庭多账户自定义循环投标超1000万，逾期率很低；290天已过，年化收益显示在25%以上。",330,3490378.0,374845.0,7659960,17.24,11246905,2015-08-01
