creditCode,currentCreditCode,listingId,priceForSale,priceForSaleRate,testDate,nextRepayDate,pastDueDay,pastDueNumber,valuation,rateMaxMultiples,rateMinMultiples,currentDueDay,currentRate,isPay,leftRepayDay,allowanceRadio,number,owingInterest,owingNumber,owingPrincipal,preDebtdealId,preDebtDealId,vouch,maxRate,minRate,defaultPriceforsale
B,C,125693439.0,33.89,20.0,11/19/2018,11/21/2018 12:28,0.0,0.0,1.0116,2.0,1.0,-2.0,20.0,0.0,2.0,0.0,6.0,1.41,4.0,33.89,0.0,0.0,0.0,40.0,20.0,
B,C,125694257.0,33.89,20.0,11/19/2018,11/21/2018 12:39,0.0,0.0,1.0121,2.0,1.0,-2.0,20.0,0.0,2.0,0.0,6.0,1.41,4.0,33.89,0.0,0.0,0.0,40.0,20.0,
B,B,125694935.0,33.89,20.0,11/19/2018,11/21/2018 12:39,0.0,0.0,1.0179,2.0,1.0,-2.0,20.0,0.0,2.0,0.0,6.0,1.41,4.0,33.89,0.0,0.0,0.0,40.0,20.0,
B,C,125695004.0,33.89,20.0,11/19/2018,11/21/2018 12:39,0.0,0.0,0.9839,2.0,1.0,-2.0,20.0,0.0,2.0,0.0,6.0,1.41,4.0,33.89,0.0,0.0,0.0,40.0,20.0,
B,C,125694212.0,33.89,20.0,11/19/2018,11/21/2018 12:40,0.0,0.0,1.0122,2.0,1.0,-2.0,20.0,0.0,2.0,0.0,6.0,1.41,4.0,33.89,0.0,0.0,0.0,40.0,20.0,
B,C,125695195.0,33.89,20.0,11/19/2018,11/21/2018 12:40,0.0,0.0,0.9992,2.0,1.0,-2.0,20.0,0.0,2.0,0.0,6.0,1.41,4.0,33.89,0.0,0.0,0.0,40.0,20.0,
B,C,125695295.0,33.89,20.0,11/19/2018,11/21/2018 12:44,0.0,0.0,1.0170000000000001,2.0,1.0,-2.0,20.0,0.0,2.0,0.0,6.0,1.41,4.0,33.89,0.0,0.0,0.0,40.0,20.0,
B,B,125693100.0,33.89,20.0,11/19/2018,11/21/2018 12:44,0.0,0.0,1.0179,2.0,1.0,-2.0,20.0,0.0,2.0,0.0,6.0,1.41,4.0,33.89,0.0,0.0,0.0,40.0,20.0,
B,C,125695541.0,33.89,20.0,11/19/2018,11/21/2018 12:44,0.0,0.0,0.9992,2.0,1.0,-2.0,20.0,0.0,2.0,0.0,6.0,1.41,4.0,33.89,0.0,0.0,0.0,40.0,20.0,
B,C,125696344.0,33.89,20.0,11/19/2018,11/21/2018 12:52,0.0,0.0,0.7925,2.0,1.0,-2.0,20.0,0.0,2.0,0.0,6.0,1.41,4.0,33.89,0.0,0.0,0.0,40.0,20.0,
B,C,125697715.0,33.89,20.0,11/19/2018,11/21/2018 13:03,0.0,0.0,0.9809,2.0,1.0,-2.0,20.0,0.0,2.0,0.0,6.0,1.41,4.0,33.89,0.0,0.0,0.0,40.0,20.0,
B,B,125697765.0,33.89,20.0,11/19/2018,11/21/2018 13:05,0.0,0.0,1.0170000000000001,2.0,1.0,-2.0,20.0,0.0,2.0,0.0,6.0,1.41,4.0,33.89,0.0,0.0,0.0,40.0,20.0,
B,C,125698067.0,33.89,20.0,11/19/2018,11/21/2018 13:09,0.0,0.0,1.0116,2.0,1.0,-2.0,20.0,0.0,2.0,0.0,6.0,1.41,4.0,33.89,0.0,0.0,0.0,40.0,20.0,
B,C,125698815.0,33.89,20.0,11/19/2018,11/21/2018 13:15,0.0,0.0,0.9839,2.0,1.0,-2.0,20.0,0.0,2.0,0.0,6.0,1.41,4.0,33.89,0.0,0.0,0.0,40.0,20.0,
B,C,125699551.0,33.89,20.0,11/19/2018,11/21/2018 13:21,0.0,0.0,0.9885,2.0,1.0,-2.0,20.0,0.0,2.0,0.0,6.0,1.41,4.0,33.89,0.0,0.0,0.0,40.0,20.0,
B,B,125699223.0,33.89,20.0,11/19/2018,11/21/2018 13:21,0.0,0.0,1.0122,2.0,1.0,-2.0,20.0,0.0,2.0,0.0,6.0,1.41,4.0,33.89,0.0,0.0,0.0,40.0,20.0,
B,C,125699690.0,33.89,20.0,11/19/2018,11/21/2018 13:23,2.0,1.0,1.0122,2.0,1.0,-2.0,20.0,0.0,2.0,0.0,6.0,1.41,4.0,33.89,0.0,0.0,0.0,40.0,20.0,
B,C,125700406.0,33.89,20.0,11/19/2018,11/21/2018 13:32,0.0,0.0,1.0171,2.0,1.0,-2.0,20.0,0.0,2.0,0.0,6.0,1.41,4.0,33.89,0.0,0.0,0.0,40.0,20.0,
B,E,125701416.0,33.89,20.0,11/19/2018,11/21/2018 13:40,0.0,0.0,0.9701,2.0,1.0,-2.0,20.0,0.0,2.0,0.0,6.0,1.41,4.0,33.89,0.0,0.0,0.0,40.0,20.0,
