CreditCode,DebtdealId,ListingId,OwingNumber,PriceforSale,PriceforSaleRate
AA,139755619,135437486,6,200.72,9.5
AA,139755614,135437351,6,200.73,9.5
AA,139755613,135437331,6,200.72,9.5
AA,139755610,135437191,6,200.72,9.5
AA,139755608,135437010,6,200.72,9.5
AA,139755606,135436908,6,200.72,9.5
AA,139755605,135436887,5,166.56,9.5
AA,139755604,135436822,6,200.73,9.5
AA,139755603,135436278,6,200.72,9.5
AA,139755602,135386234,6,200.72,9.5
AA,139757721,120683071,2,10.17,9.5
AA,139758077,121636761,2,16.98,10.5
AA,139758075,121612270,2,16.99,10.5
AA,139758071,121508154,2,17.0,10.5
AA,139758069,121507421,2,17.0,10.5
AA,139758068,121506751,2,17.0,10.5
AA,139758064,121503554,2,17.0,10.5
AA,139758060,121501299,2,17.0,10.5
AA,139758057,121497403,2,17.0,10.5
AA,139758056,121490296,2,17.0,10.5
AA,139758054,121488435,2,17.0,10.5
AA,139758051,121477447,2,17.0,10.5
AA,139758049,121471589,2,17.0,10.5
AA,139758045,121180736,2,17.01,10.5
AA,139758043,121132078,2,17.0,10.5
AA,139758042,121092147,2,17.01,10.5
AA,139758041,117318708,3,16.96,10.0
AA,139758039,116877391,3,16.98,10.0
AA,139758037,111254252,3,17.14,10.5
AA,139758034,111021385,3,17.15,10.5
AA,139758032,109959616,3,17.13,10.5
AA,139956318,128413934,4,33.72,10.5
AA,139956360,128815960,4,33.67,10.5
AA,139956359,128815549,4,33.67,10.5
AA,139956358,128813292,4,33.67,10.5
AA,139956357,128812104,4,33.67,10.5
AA,139956356,128811033,4,33.67,10.5
AA,139956355,128808944,4,33.68,10.5
AA,139956354,128807636,4,33.68,10.5
AA,139956353,128807426,4,33.68,10.5
AA,139956352,128806254,4,33.68,10.5
AA,139956351,128805793,4,33.67,10.5
AA,139956541,136518186,6,50.07,9.0
AA,139956540,136420822,6,50.09,9.0
AA,139956539,136411282,6,50.09,9.0
AA,139956537,135944241,12,50.15,10.0
AA,139956566,136529520,12,50.08,10.0
AA,139956600,136018470,6,50.14,9.5
AA,139956662,136115321,12,50.13,10.0
AA,139956660,136096783,6,50.12,9.0
AA,139956657,136083005,6,50.13,9.5
AA,139956656,136077128,6,50.12,9.0
AA,139956652,136017564,6,50.12,9.0
AA,139956651,135682068,6,50.16,9.5
AA,139956650,135682032,6,50.16,9.5
AA,139956647,135681935,6,50.17,9.5
AA,139956646,135681874,6,50.16,9.5
AA,139956755,137042459,12,50.04,10.0
AA,139956754,136985239,6,50.03,9.0
AA,139956753,136984920,6,50.03,9.0
AA,139956752,136983551,6,50.03,9.0
AA,139956751,136982755,6,50.03,9.0
AA,139956834,136258181,6,50.09,9.0
AA,139956833,136257899,6,50.09,9.0
AA,139956832,136256755,6,50.09,9.0
AA,139956831,135910041,12,50.16,10.0
AA,139956830,135906555,6,50.15,9.5
AA,139956829,135893155,6,50.16,9.5
AA,139956828,135879598,6,50.16,9.5
AA,139956827,135852575,6,50.16,9.5
