User,creationDate,listingId,title,借款用途,借款金额,协议利率,单笔最高借款金额,历史最高负债,学习形式,工作信息,年龄,待还金额,性别,成功借款次数,成功还款次数,收入情况,文化程度,期限,正常还清次数,毕业院校,注册时间,第一次成功借款时间,累计借款金额,级别,网络借贷平台借款余额,还款来源,逾期（0-15天）还清次数,逾期（15天以上）还清次数
pdu7****31268,2018-08-06 15:17:45,124111846,pdu7****31268第19次借款,装修,5000.0,20.0,7000.0,18880.12,无,私营业主,34,4998.6,女,19,143,5000-8000（含5000）,无,3,141,无,2015-12-08,2015-12-08 12:03:03,69696.0,B,3200.0,经营收入,2,0
pdu1****13460,2018-08-06 17:17:07,124127019,pdu1****13460第4次借款,医疗,728.0,20.0,4000.0,5438.76,无,私营业主,31,3252.02,女,4,14,15000及以上,无,3,14,无,2018-01-05,2018-01-05 19:41:35,7039.0,B,0.0,经营收入,0,0
pdu6****86668,2018-08-06 20:05:11,124143964,pdu6****86668第9次借款,日常消费,3553.0,20.0,9445.0,13127.78,普通,私营业主,32,11763.64,女,10,59,15000及以上,专科,3,42,硅湖职业技术学院,2016-09-02,2016-09-02 18:52:13,44740.0,B,235084.0,薪资收入,17,0
pdu1****12800,2018-08-06 21:49:00,124152016,pdu1****12800第14次借款,装修,5019.0,20.0,5800.0,11924.7,成人,私营业主,32,9442.53,女,14,71,5000-8000（含5000）,专科,3,70,金华教育学院,2017-05-12,2017-05-20 16:11:32,40992.0,B,0.0,经营收入,1,0
pdu0****67864,2018-08-06 21:54:59,124152441,pdu0****67864第20次借款,医疗,4117.0,20.0,12067.0,22721.23,无,暂未提供,40,20574.76,女,20,106,15000及以上,无,3,104,无,2016-07-29,2016-07-29 19:24:13,79139.0,B,52614.0,薪资收入,2,0
se****223,2018-08-06 22:45:15,124155696,手机app用户的借款,日常消费,6000.0,20.0,20000.0,26043.42,无,暂未提供,35,10493.53,女,23,144,15000及以上,无,3,132,无,2014-11-21,2014-11-21 20:20:51,113631.0,B,0.0,薪资收入,12,0
pdu2****86233,2018-08-07 06:48:34,124169873,手机app用户的借款,旅游,2000.0,20.0,10000.0,24574.52,无,暂未提供,43,13540.33,女,19,141,5000-8000（含5000）,无,3,141,无,2016-08-09,2016-08-09 23:48:59,65482.0,B,0.0,薪资收入,0,0
pdu5****14401,2018-08-07 08:55:24,124178769,pdu5****14401第11次借款,装修,10370.0,20.0,18452.0,27435.41,无,私营业主,36,27435.41,女,13,59,15000及以上,无,3,58,无,2016-09-24,2016-09-24 00:34:09,99393.0,B,97791.0,经营收入,1,0
pdu0****86216,2018-08-07 09:20:18,124181687,pdu0****86216第16次借款,装修,8000.0,20.0,10596.0,23260.65,无,暂未提供,48,15477.28,女,16,100,8000-15000（含8000）,无,3,100,无,2016-07-28,2016-07-28 19:54:21,65602.0,B,37857.0,薪资收入,0,0
pdu5****03862,2018-08-07 10:21:08,124190227,pdu5****03862第4次借款,医疗,1173.0,20.0,7400.0,8370.54,无,私营业主,41,4802.77,女,4,16,15000及以上,无,3,15,无,2017-11-08,2017-11-08 17:02:21,12556.0,B,0.0,个人存款,1,0
